"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"    As a registered customer of the E-Commerce platform
    I want to be able to log in to my account
    So that I can access my account dashboard and manage my orders","90437","Login page elements are displayed correctly","","2026-06-19","broken","2026-06-19","","Customer Login - UI Tests","Login page elements are displayed correctly",""
"    As an API consumer
    I want to authenticate via the login API endpoint
    So that I can receive a valid token for subsequent API calls","14522","Successful API login returns token","","2026-06-19","passed","2026-06-19","","Customer Login - API Tests","Successful API login returns token",""
"    As a registered customer of the E-Commerce platform
    I want to be able to log in to my account
    So that I can access my account dashboard and manage my orders","90571","Successful login with valid credentials","","2026-06-19","broken","2026-06-19","","Customer Login - UI Tests","Successful login with valid credentials",""
"    As a registered customer of the E-Commerce platform
    I want to be able to log in to my account
    So that I can access my account dashboard and manage my orders","90463","Login fails with various invalid inputs","","2026-06-19","broken","2026-06-19","","Customer Login - UI Tests","Login fails with various invalid inputs",""
"    As an API consumer
    I want to authenticate via the login API endpoint
    So that I can receive a valid token for subsequent API calls","532","API login fails with invalid credentials","","2026-06-19","passed","2026-06-19","","Customer Login - API Tests","API login fails with invalid credentials",""
"    As a registered customer of the E-Commerce platform
    I want to be able to log in to my account
    So that I can access my account dashboard and manage my orders","90457","Login fails with invalid credentials","","2026-06-19","broken","2026-06-19","","Customer Login - UI Tests","Login fails with invalid credentials",""
"    As an API consumer
    I want to authenticate via the login API endpoint
    So that I can receive a valid token for subsequent API calls","451","API login fails with missing email","","2026-06-19","passed","2026-06-19","","Customer Login - API Tests","API login fails with missing email",""
"    As a registered customer of the E-Commerce platform
    I want to be able to log in to my account
    So that I can access my account dashboard and manage my orders","90436","Login fails with various invalid inputs","","2026-06-19","broken","2026-06-19","","Customer Login - UI Tests","Login fails with various invalid inputs",""
"    As a registered customer of the E-Commerce platform
    I want to be able to log in to my account
    So that I can access my account dashboard and manage my orders","90442","Login fails with various invalid inputs","","2026-06-19","broken","2026-06-19","","Customer Login - UI Tests","Login fails with various invalid inputs",""
"    As an API consumer
    I want to authenticate via the login API endpoint
    So that I can receive a valid token for subsequent API calls","445","API login fails with missing password","","2026-06-19","passed","2026-06-19","","Customer Login - API Tests","API login fails with missing password",""
"    As a registered customer of the E-Commerce platform
    I want to be able to log in to my account
    So that I can access my account dashboard and manage my orders","90449","Login fails with various invalid inputs","","2026-06-19","broken","2026-06-19","","Customer Login - UI Tests","Login fails with various invalid inputs",""
"    As a registered customer of the E-Commerce platform
    I want to be able to log in to my account
    So that I can access my account dashboard and manage my orders","90437","Successful login using test data file","","2026-06-19","broken","2026-06-19","","Customer Login - UI Tests","Successful login using test data file",""
